OldName,NewName
眼轮匝肌 ,眼轮匝肌（闭合眼睑）
颧大肌 ,颧肌（提拉嘴角）
咬肌 ,咬肌（下颌闭合）
颞肌 ,颞肌（辅助咀嚼）
胸锁乳突肌 ,胸锁乳突肌（头部旋转/屈曲）
颈阔肌 ,颈阔肌（颈部皮肤运动）
肩胛提肌 ,肩胛提肌（提拉肩胛骨）
斜角肌 ,斜角肌（辅助呼吸）
斜方肌 ,斜方肌（肩胛运动）
背阔肌 ,背阔肌（上肢后拉）
竖脊肌 ,竖脊肌（脊柱后伸）
菱形肌 ,菱形肌（肩胛内收）
胸大肌 ,胸大肌（肩关节内收）
胸小肌 ,胸小肌（肩胛骨前拉）
肋间肌 ,肋间肌（辅助呼吸）
前锯肌 ,前锯肌（肩胛骨稳定）
腹直肌 ,腹直肌（躯干屈曲）
腹外斜肌 ,腹外斜肌（躯干旋转）
腹横肌 ,腹横肌（核心稳定）
腰方肌 ,腰方肌（侧屈躯干）
膈肌 ,膈肌（主要呼吸肌）
会阴深横肌 ,会阴深横肌（盆底支撑）
三角肌 ,三角肌（肩关节外展）
冈上肌 ,冈上肌（肩外展启动）
冈下肌,冈下肌
小圆肌 ,小圆肌（肩关节稳定）
肱二头肌 ,肱二头肌（屈肘）
喙肱肌 ,喙肱肌（肩前屈）
肱三头肌 ,肱三头肌（伸肘）
肘肌 ,肘肌（前臂伸展）
桡侧腕屈肌 ,桡侧腕屈肌（手腕屈曲）
指浅屈肌 ,指浅屈肌（手指屈曲）
尺侧腕伸肌 ,尺侧腕伸肌（手腕伸展）
踇长伸肌 ,指伸肌（手指伸展）
小鱼肌 ,鱼际肌（拇指运动）
骨间肌 ,骨间肌（手指内收外展）
臀大肌 ,臀大肌（髋关节后伸）
臀中肌 ,臀中肌（髋外展）
髂肌,髂腰肌（髋关节屈曲）
梨状肌 ,梨状肌（髋外旋）
股四头肌 ,股四头肌（膝关节伸展）
缝匠肌 ,缝匠肌（髋膝复合运动）
股二头肌,股二头肌
半腱肌 ,半腱肌（膝关节屈曲）
长收肌,长收肌
大收肌 ,大收肌（大腿内收）
胫骨前肌 ,胫骨前肌（足背屈）
趾伸肌 ,趾长伸肌（足趾伸展）
腓肠肌 ,腓肠肌（踝跖屈）
比目鱼肌 ,比目鱼肌（维持站立）
腓骨长肌 ,腓骨长肌（足外翻）
足底方肌 ,足底方肌（支撑足弓）
趾短屈肌 ,趾短屈肌（足趾屈曲）
视觉系统,视觉
味觉系统,味觉
听觉系统,听觉
嗅觉系统,嗅觉
平衡感觉,平衡感觉
躯体感觉,躯体
内脏感觉,内脏
额骨,额骨
顶骨,顶骨
枕骨,枕骨
颞骨,颞骨
蝶骨,蝶骨
筛骨,筛骨
上颌骨,上颌骨
颧骨,颧骨
鼻骨,鼻骨
下颌骨,下颌骨
颈椎,颈椎
胸椎,胸椎
腰椎,腰椎
骶骨,骶骨
尾骨,尾骨
肋骨,肋骨
胸骨,胸骨
肩胛骨,肩胛骨
锁骨,锁骨
肱骨,肱骨
桡骨,桡骨
尺骨,尺骨
手指骨,手部骨骼
髂骨,髋骨
股骨,股骨
髌骨,髌骨
胫骨,胫骨
腓骨,腓骨
足骨趾骨,足部骨骼
卵巢,卵巢
子宫,子宫
乳房,乳房
乳腺小叶,乳腺小叶
口腔,口腔
食道,食管
胃,胃
肝脏,肝脏
胰腺,胰腺
胆囊,胆囊
小肠,小肠
大肠,大肠
肾脏,肾脏
膀胱,膀胱
输尿管,输尿管
尿道,尿道
心脏,心脏
肺,肺部循环
动脉,动脉系统
静脉,静脉系统
会厌,会厌
喉_气管_支气管,喉部_气管_支气管
肺部循环,肺
隔肌,膈肌
呼吸肌,呼吸肌
下丘脑,下丘脑
下垂体,垂体
松果体,松果体
甲状腺,甲状腺
卵巢,卵巢
肾上腺,肾上腺
胰腺,胰腺
上皮,皮肤
