id,parent,introduce,iconName
0,打开更衣室门,,
1,请进入更衣室穿戴安全防护用品。,,
2,打开重金属实验室门,,
3,点击“固体样品”，将备至好的固体样品打开,,
4,点击“研磨机”，对固体样品进行粉碎处理。,,
5,点击“研磨机”，将使用过的放置到清洗台备洗,,
6,点击“实验台秤”，将试样样品放入实验台秤中，进行称量度数。,,
7,点击“消解罐”，将样品放入到消解罐中以备加酸,,
8,点击“硝酸”，将硝酸加入消解罐，并使用消解开消器进行封盖,,
9,点击“微波消解仪”，注意使用前的检查与仪器使用状况,,
10,点击“消解罐”，将 "消解罐 ‘对称放入微波消解仪中进行消解,,
11,请设置好“温度”与 "时间“ ，并启动”运行“,,
12,点击“微波消解仪”，等降温后的消解转取出，放置实验台，将取出的消解罐放置仪器架中冷却,,
13,点击“消解罐”，将消解罐打开放入赶酸仪赶酸，打开消解罐时应当避免朝向自己与他人，防止内部溶液溅出,,
14,点击“实验盘”，把实验器械移置跟前，取出已完成的消解罐并转移置容量瓶进行50ml2%的硝酸定容,,
15,进入原子吸收分光光度室,,
16,点击“光谱仪”，把火焰法装置转成石墨炉法前的仪器调试,,
17,前往气瓶间,,
18,打开"氦气阀门",,
19,"返回重金属实验室,进入原子吸收分光光度室，根据“指示”，打开冷却水开关，及电源开关",,
20,打开"仪器 电脑" 等开关，移置电脑前操作,,
21,请点击“软件”，弹出软件界面,,
22,点击“鼠标”，进行进样针校准,,
23, 请点击标题栏“进样”板块,,
24,点击“溶液”，在对应位置加上样品溶液,,
25,请到”概述“下进行”方法名称命名”并开始“OK”启动,,
26,点击“鼠标”，自动进样器开始吸取刚刚设置好的基体改进剂和样品溶液并输送到石墨管中,,
27,请点击：“分析”,,
28,点击'打印按扭"，将分析好的结果打印出来,,
